"filename", "language", "JavaScript React", "JavaScript", "CSS", "JSON", "YAML", "JSON with Comments", "HTML", "XML", "comment", "blank", "total"
"c:\academy-portal_react\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 53, 0, 0, 1, 0, 54
"c:\academy-portal_react\.github\workflows\firebase-hosting-merge.yml", "YAML", 0, 0, 0, 0, 17, 0, 0, 0, 2, 2, 21
"c:\academy-portal_react\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 0, 0, 0, 0, 14, 0, 0, 0, 2, 2, 18
"c:\academy-portal_react\firebase.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 10, 0, 17
"c:\academy-portal_react\package-lock.json", "JSON", 0, 0, 0, 29470, 0, 0, 0, 0, 0, 1, 29471
"c:\academy-portal_react\package.json", "JSON", 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 53
"c:\academy-portal_react\public\images\Academy Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 234, 0, 1, 235
"c:\academy-portal_react\public\images\about_achievements.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\academy-portal_react\public\images\contact.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\academy-portal_react\public\images\header.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\academy-portal_react\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 0, 0, 2, 23
"c:\academy-portal_react\src\App.jsx", "JavaScript React", 35, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\academy-portal_react\src\Components\Achievement.jsx", "JavaScript React", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\academy-portal_react\src\Components\Achievement.module.css", "CSS", 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"c:\academy-portal_react\src\Components\Article.jsx", "JavaScript React", 53, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57
"c:\academy-portal_react\src\Components\Category.jsx", "JavaScript React", 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\academy-portal_react\src\Components\Faq.jsx", "JavaScript React", 35, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\academy-portal_react\src\Components\Footer.jsx", "JavaScript React", 55, 0, 0, 0, 0, 0, 0, 0, 0, 8, 63
"c:\academy-portal_react\src\Components\Footer.module.css", "CSS", 0, 0, 70, 0, 0, 0, 0, 0, 0, 15, 85
"c:\academy-portal_react\src\Components\Navbar.jsx", "JavaScript React", 42, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\academy-portal_react\src\Components\Navbar.module.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\academy-portal_react\src\Components\Student.jsx", "JavaScript React", 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\academy-portal_react\src\Components\Student.module.css", "CSS", 0, 0, 53, 0, 0, 0, 0, 0, 10, 13, 76
